Autocorrelation_Pitch,Cepstrum_Pitch,F1,F2,Sexe
121.07153659657637,111.31337829975293,318.68886311671884,1801.3717687057278,1
110.07460673834936,108.01927710915425,322.4015757057884,1873.313785111009,1
109.69975278488408,110.14272571633425,306.28172898191303,1830.4657654752823,1
109.33282624534142,112.8532587980732,286.5176056320431,1897.4439167935097,1
120.64251723735734,110.35019426151463,300.1994792315751,1904.1697583555765,1
111.72480531143724,113.30011845582874,315.05784539888054,1774.8360553769085,1
109.1486371205169,114.10770541411766,286.21743288045707,1894.776636977896,1
102.49772039721469,110.25487721704087,303.78349110988995,1878.3788146820236,1
108.86528652885451,117.49319642938539,295.9920853349158,1857.9148948459442,1
121.15023201856133,122.44535513956507,292.4879285492921,1899.1637522075516,1
106.82401014747809,109.73772528031918,318.6212856836393,1771.9133798254,1
115.85916526962961,116.34072486485745,308.73739723258825,1848.6276043365065,1
108.46049205848072,112.5486542728776,309.0398991665757,1841.710034857426,1
103.39754601550118,110.09203822452712,301.3919146199714,1914.8292694711981,1
108.18897451201848,107.76240063940656,304.30051858507346,1847.0565968939611,1
109.65512279745211,115.6216139669874,312.31141225998186,1839.1433366667482,1
109.24130691604508,113.00465590026053,297.1747147540414,1843.046624533785,1
108.10326912218245,111.77893528767483,318.8298917499524,1840.6500154613066,1
114.76090420173283,111.63243164734133,300.50151839104205,1852.3045802058457,1
106.26796608367161,115.72272055745725,299.44166279537154,1802.4057135192224,1
112.84926985887502,118.67770019683913,292.5984264350982,1848.6746745290034,1
113.60332409948931,111.67321865762489,319.9305705818406,1873.0968615672057,1
109.81976365465113,114.16199202634692,305.1835434006054,1804.1305967111464,1
103.4110448512954,112.63230515526749,296.77610735589104,1828.6963082651112,1
118.58732430003684,113.12072620318507,287.29128566718646,1844.9431326702181,1
109.99853073397716,113.097324672561,302.8672132595569,1862.7698239095382,1
117.5489342514136,119.70433260992333,319.8190017085665,1817.375032047206,1
118.04847343969287,112.55260706462977,282.22672916057115,1790.4211592992253,1
107.85460428278598,113.57072533361695,306.50227804266177,1865.0644336361156,1
106.3593033189645,111.55043220412048,281.2972657336667,1896.7210656441769,1
107.17606909408781,108.57665885808092,295.5928185907803,1884.7802153999976,1
107.81330367127649,111.18649066551556,298.8072071096787,1859.9844810076324,1
113.87937842606325,113.37519058505399,288.5799322983854,1861.6444428036348,1
108.97524935888171,116.62858012445491,314.43562667149,1797.6744688898991,1
110.77710915712957,112.14233845845291,303.16237419255,1882.0418777830755,1
106.91122447334268,107.10907539270576,316.22739680487683,1912.3812663553388,1
115.17502782655292,116.34096653394538,312.7191436688712,1854.0297205638656,1
