Autocorrelation_Pitch,Cepstrum_Pitch,F1,F2,Sexe
133.0394064860746,162.20652057803582,377.6957087385781,1971.1763794204098,1
140.8427022010176,159.50610278779507,388.22725678357864,1841.889625897429,1
126.63455004786647,157.31977897996777,380.24994456167326,1957.7128709306808,1
133.918633499181,158.27061793250647,402.36728188724385,1867.5892267672589,1
130.4852600713917,142.76875820583135,382.25227319675423,1905.0701809500085,1
134.78288721439083,166.58320955434107,385.46389350795073,1806.2696164789907,1
132.0905164058985,149.77030808073422,377.49016228846216,2017.692521629904,1
132.9240807300752,156.82347228968453,385.7218843928527,1944.3715132439825,1
133.7803099228602,164.49578911188956,388.51316602247834,1972.0139689234686,1
126.18168810227785,153.92043566330008,380.97255943836154,1965.787278615286,1
125.2318014066841,158.869843387494,377.91378714418596,1947.4029593719997,1
125.69101135579041,148.68058335543728,376.79394785675447,1963.8911017271,1
128.64194651122756,157.43069949883693,384.2010301342292,1978.08980759025,1
135.98649845463595,155.19373374428474,403.2890142862323,1921.1258582226972,1
127.69141380812258,158.22170235985374,398.01985120695554,1806.099394830031,1
129.41821234660586,153.8278731933922,388.7459946007158,1927.8919500018571,1
134.84118416888637,159.7043532841076,383.5381147813552,1993.922350817996,1
137.12245543635245,151.5275633741025,422.68997774608766,1844.4036702263286,1
133.16923258539506,156.22924758376794,402.8689890389806,1846.9066779962582,1
131.87003900530308,151.53506342150698,357.85156454219333,1973.8187968006239,1
136.2074006748063,163.31461565241236,371.75706089941934,1968.7356750807753,1
133.0714732021,170.97983211227978,376.36027993441235,1829.1279335196357,1
139.1176654710807,160.37472192708796,377.8005706010665,1979.9218009143403,1
139.10286383144128,157.45332150923753,387.17715359482554,1924.1656348763236,1
133.63549067658334,169.06120973589702,394.8502767754487,1927.8025969114624,1
136.39382769868223,154.1442210448356,376.0137360968984,1931.9708412145421,1
130.44814276823843,156.35523376362642,387.2562226359266,1899.4694462343919,1
135.20493428202857,157.30627706888563,388.9013866161633,1880.4849280342899,1
148.03270012393557,168.75227050942294,365.14434984578173,1839.6363867829648,1
134.70562327043285,162.0425042965555,392.8419243320426,1908.4795077560004,1
137.2248769919596,161.89404548254512,365.06716220962835,1926.276267908314,1
134.06805771174717,151.14266128228823,391.00794319902593,1982.7047273566334,1
132.90277884040015,160.80581050813143,368.7096161909362,1958.5480025380905,1
127.17815720477483,153.5325513142983,402.3056578537013,1870.0711161137947,1
150.87247112851006,164.9784003023741,388.39488903743586,1797.8056088988337,1
135.26501531023197,167.09973201835416,396.2537064788053,1841.3015159395304,1
144.36609770920967,172.3708790359665,418.6293058326293,1908.6346983423086,1
131.51951564901464,154.14685580092245,388.57120769423227,1822.9934019450297,1
135.83595280049204,161.79196927696196,376.77929537915986,1908.6250816390686,1
137.02065264123968,162.1687107466961,387.7812671372329,1902.506718567205,1
141.65424592681,173.67233724645845,382.9283130506468,1929.5975098313202,1
127.85413292092214,155.08233516892054,359.1593517038347,1965.9508205299367,1
142.66274757610518,161.38797191433616,379.97408705737837,1938.211620867687,1
136.9308263486385,160.63608559997138,387.70188350971426,1893.8713274617235,1
128.34164932434766,142.33189432771132,360.4078283205605,1920.562884664978,1
135.48418261450885,161.9093766366953,375.44721486710296,1891.4145127815937,1
133.7384579750106,149.28370126935735,398.22521198236,1959.3471988140177,1
146.9601574992784,155.9531504526976,381.7623043018052,1887.3216573908878,1
146.54378501130455,168.73099696741463,355.70279702021844,1846.4710305708104,1
135.64932890588682,151.23111945669052,379.60484576285853,1911.2167988327888,1
141.09314797851889,167.22102324702243,423.87581420165174,1881.4615686619752,1
